program,faculty,campus,duration,eng_taught,type,url
Bachelor of Arts (Major in Hong Kong Studies),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Japanese Studies),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Korean Studies),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Music),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Philosophy),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Translation),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts and Bachelor of Education in Language Education - English,Faculty of Arts+Faculty of Education,Centennial Campus+主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-education-language-education
Bachelor of Arts and Bachelor of Laws,Faculty of Arts+Faculty of Law,Centennial Campus,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-laws
Bachelor of Arts and Bachelor of Education in Language Education - Chinese,Faculty of Arts+Faculty of Education,Centennial Campus+主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-education-language-education-0
Bachelor of Education in Early Childhood Education and Special Education,Faculty of Education,主校区,5,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-education-early-childhood-education-and-special
Bachelor of Dental Surgery,Faculty of Dentistry,Prince Philip Dental Hospital,6,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-dental-surgery
Bachelor of Education and Bachelor of Science,Faculty of Education+Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-education-and-bachelor-of-science
Bachelor of Science in Speech-Language Pathology,Faculty of Education,主校区,5,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science-speech-language-pathology
Bachelor of Arts and Sciences in Applied Artificial Intelligence,School of Computing and Data Science,主校区,4,TRUE,交叉学科（单学位）,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-applied-artificial-intelligence
Bachelor of Arts and Sciences in Design+,Faculty of Architecture,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-design
Bachelor of Arts and Sciences in Financial Technology,School of Computing and Data Science,主校区,4,TRUE,交叉学科（单学位）,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-financial-technology
Bachelor of Arts and Sciences in Global Health and Development,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,4,TRUE,交叉学科（单学位）,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-global-health-and-development
Bachelor of Arts in Global Creative Industries,Faculty of Social Sciences+School of Future Media,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-global-creative-industries
Bachelor of Arts in Humanities and Digital Technologies,Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-humanities-and-digital-technologies
Bachelor of Arts and Bachelor of Engineering in Artificial Intelligence and Data Science,Faculty of Arts+Faculty of Engineering,Centennial Campus+主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-engineering-artificial
Bachelor of Engineering Elite Programme,Faculty of Engineering,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-elite-programme
Bachelor of Engineering in Data and Systems Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-data-and-systems-engineering
Bachelor of Engineering in Mechanical Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-mechanical-engineering
Bachelor of Engineering in Civil Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-civil-engineering
Bachelor of Engineering and Master of Science in Engineering in Artificial Intelligence in Engineering,Faculty of Engineering,主校区,5,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-engineering-and-master-of-science-engineering
Bachelor of Laws,Faculty of Law,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-laws
Bachelor of Nursing Advanced Leadership Track,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,5,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-nursing-advanced-leadership-track
Bachelor of Medicine and Bachelor of Surgery,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,6,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-medicine-and-bachelor-of-surgery
Bachelor of Medicine and Bachelor of Surgery (Distinguished MedScholar),Li Ka Shing Faculty of Medicine,Sassoon Road Campus,6,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-medicine-and-bachelor-of-surgery-distinguished
Bachelor of Nursing,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,5,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-nursing
Bachelor of Chinese Medicine,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,6,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-chinese-medicine
Bachelor of Pharmacy,Li Ka Shing Faculty of Medicine,Sassoon Road Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-pharmacy
Bachelor of Science in Innovation and Technology,School of Innovation,主校区,4,TRUE,交叉学科（单学位）,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science-innovation-and-technology
Science Master Class (Major in Biological Sciences),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Science Master Class (Major in Chemistry),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Science Master Class (Major in Ecology & Biodiversity),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Science Master Class (Major in Geology),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Science Master Class (Major in Mathematics),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Science Master Class (Major in Molecular Biology & Biotechnology),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Science Master Class (Major in Physics),Faculty of Science,主校区,5,TRUE,双学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/science-master-class
Bachelor of Psychology,Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-psychology
Bachelor of Social Sciences (Major in Cognitive Science),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Computational Social Science),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Counselling),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Criminology),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Geography),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Media and Cultural Studies),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Neuroscience),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Politics and Public Administration),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Psychology),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Social Policy and Social Development),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Sociology),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Social Sciences (Major in Urban Governance),Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-sciences
Bachelor of Science in Actuarial Science,School of Computing and Data Science,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science-actuarial-science
Bachelor of Social Work,Faculty of Social Sciences,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-social-work
"Bachelor of Business Administration (Major in Entrepreneurship, Design and Innovation)",HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration
Bachelor of Business Administration (Major in Finance),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration
Bachelor of Business Administration (Major in Human Resource Management),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration
Bachelor of Business Administration (Major in Information Systems and Analytics),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration
Bachelor of Business Administration (Major in Marketing),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration
Bachelor of Economics / Bachelor of Economics and Finance (Major in Economics),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-economics-bachelor-of-economics-and-finance
Bachelor of Economics / Bachelor of Economics and Finance (Major in Economics and Finance),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-economics-bachelor-of-economics-and-finance
Statistical Decision Sciences,School of Computing and Data Science,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/statistical-decision-sciences
Bachelor of Business Administration in Accounting and Finance / Bachelor of Business Administration in Accounting Data Analytics (Major in Professional Core in Accounting),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration-accounting-and-finance
Bachelor of Business Administration in Accounting and Finance / Bachelor of Business Administration in Accounting Data Analytics (Major in Professional Core in Accounting Data Analytics),HKU Business School,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-business-administration-accounting-and-finance
